mjd,mag,magerr,filter
1332.808228,16.127718,0.018368,1
1332.829102,16.127478,0.018378,1
1332.849976,16.122189,0.019670,1
1332.870728,16.125135,0.018313,1
1332.891602,16.124800,0.018322,1
1332.912476,16.122696,0.018284,1
1332.933228,16.119326,0.018256,1
1332.954102,16.123789,0.018303,1
1332.974976,16.123089,0.018259,1
1332.995728,16.121105,0.018261,1
1333.016602,16.123026,0.018302,1
1333.037476,16.120251,0.018251,1
1333.058228,16.117624,0.018235,1
1333.079102,16.121187,0.018273,1
1333.099976,16.121721,0.018265,1
1333.120728,16.122372,0.018273,1
1333.141602,16.132511,0.018480,1
1333.162476,16.136209,0.018509,1
1333.183228,16.135029,0.018525,1
1333.204102,16.135302,0.018483,1
1333.224976,16.132221,0.018487,1
1333.245728,16.123833,0.018317,1
1333.266602,16.119892,0.018270,1
1333.287476,16.118586,0.018273,1
1333.308228,16.122372,0.018307,1
1333.329102,16.119534,0.018253,1
1333.349976,16.119846,0.018231,1
1333.370728,16.121519,0.018278,1
1333.391602,16.122288,0.018282,1
1333.412476,16.123180,0.018296,1
1333.433228,16.122381,0.018289,1
1333.454102,16.119505,0.018237,1
1333.474976,16.120035,0.018206,1
1333.495728,16.119658,0.018232,1
1333.516602,16.117819,0.018202,1
1333.537476,16.116556,0.018244,1
1333.558228,16.118402,0.018251,1
1333.579102,16.119347,0.018226,1
1333.599976,16.119848,0.018274,1
1333.620728,16.122906,0.018294,1
1333.641602,16.121138,0.018275,1
1333.662476,16.123919,0.018352,1
1333.683228,16.122663,0.018306,1
1333.704102,16.126774,0.018379,1
1333.724976,16.126902,0.018345,1
1333.745728,16.124987,0.018326,1
1333.766602,16.128395,0.018402,1
1333.787476,16.128338,0.018399,1
1333.808228,16.130754,0.018446,1
1333.829102,16.133730,0.018486,1
1333.849976,16.133923,0.018485,1
1333.870728,16.134007,0.018489,1
1333.891602,16.133482,0.018450,1
1333.912476,16.135101,0.018509,1
1333.933228,16.143595,0.018645,1
1333.954102,16.185549,0.019384,1
1333.974976,16.239372,0.020371,1
1333.995728,16.249855,0.020545,1
1334.016602,16.248346,0.020507,1
1334.037476,16.223867,0.020107,1
1334.058228,16.164705,0.019002,1
1334.079102,16.139866,0.018532,1
1334.099976,16.138132,0.018549,1
1334.120728,16.141005,0.018614,1
1334.141602,16.136789,0.018505,1
1334.162476,16.137785,0.018540,1
1334.183228,16.140663,0.018613,1
1334.204102,16.136318,0.018517,1
1334.224976,16.136852,0.018567,1
1334.245728,16.137707,0.018580,1
1334.266602,16.135130,0.018513,1
1334.287476,16.133430,0.018436,1
1334.308228,16.131508,0.018445,1
1334.329102,16.131710,0.018477,1
1334.349976,16.130960,0.018444,1
1334.370728,16.127186,0.018369,1
1334.391602,16.130026,0.018393,1
1334.412476,16.128353,0.018383,1
1334.433350,16.125793,0.018350,1
1334.454102,16.127134,0.018387,1
1334.474976,16.124874,0.018333,1
1334.495850,16.125387,0.018315,1
1334.516602,16.123161,0.018280,1
1334.537476,16.121710,0.018274,1
1334.558350,16.122120,0.018266,1
1334.579102,16.120291,0.018237,1
1334.599976,16.123035,0.018274,1
1334.620850,16.119495,0.018272,1
1334.641602,16.121338,0.018278,1
1334.662476,16.120407,0.018210,1
1334.683350,16.120451,0.018299,1
1334.704102,16.122166,0.018279,1
1334.724976,16.119370,0.018246,1
1334.745850,16.121908,0.018268,1
1334.766602,16.123522,0.018334,1
1334.787476,16.135550,0.018537,1
